Model,Dataset,Mode,Percentage,Hit Ratio@10,Precision@10,Recall@10,NDCG@10,Hit Ratio@20,Precision@20,Recall@20,NDCG@20,Hit Ratio@40,Precision@40,Recall@40,NDCG@40
SHT,lastfm,add_noise,30,0.09456,0.1167,0.09654,0.14159,0.15201,0.0938,0.1537,0.15699,0.22704,0.07005,0.22875,0.19545
SHT,lastfm,add_noise,40,0.08403,0.10367,0.08485,0.12677,0.13838,0.08535,0.13931,0.14217,0.20733,0.06394,0.20732,0.17677
SHT,lastfm,add_noise,50,0.06503,0.08018,0.06549,0.10128,0.10915,0.0673,0.11023,0.11553,0.16871,0.05201,0.16926,0.14606
SHT,lastfm,cold_start,1,0.13628,0.11971,0.13667,0.18128,0.19799,0.08696,0.19801,0.21556,0.27723,0.06088,0.27731,0.2517
SHT,lastfm,missing,10,0.13251,0.16339,0.13398,0.2155,0.19784,0.12197,0.19995,0.22534,0.28411,0.08758,0.28566,0.26906
SHT,lastfm,missing,20,0.1264,0.15593,0.12834,0.1991,0.19302,0.11906,0.19403,0.21154,0.27899,0.08604,0.28,0.2553
SHT,lastfm,missing,30,0.11838,0.14604,0.11979,0.18326,0.18798,0.11595,0.18892,0.19949,0.27171,0.0838,0.27253,0.24184
SHT,lastfm,missing,40,0.10972,0.13535,0.11049,0.16967,0.17772,0.10962,0.17878,0.18695,0.26305,0.08113,0.26311,0.23004
SHT,lastfm,missing,50,0.09637,0.119,0.09726,0.1494,0.16041,0.09904,0.1607,0.16712,0.24087,0.07436,0.24193,0.20816
SHT,ml-1m,add_noise,10,0.03712,0.15395,0.05813,0.19619,0.06988,0.1449,0.10233,0.19435,0.12459,0.12918,0.17235,0.20676
SHT,ml-1m,add_noise,20,0.03746,0.15535,0.05913,0.18792,0.06832,0.14167,0.10163,0.18586,0.12132,0.12579,0.16935,0.19898
SHT,ml-1m,add_noise,30,0.03693,0.15315,0.05885,0.18287,0.06818,0.14138,0.10298,0.18113,0.11904,0.12343,0.16795,0.19224
SHT,ml-1m,add_noise,40,0.03436,0.1425,0.05299,0.16544,0.06276,0.13015,0.0947,0.167,0.11276,0.11691,0.16069,0.18173
SHT,ml-1m,add_noise,50,0.03028,0.1256,0.04625,0.14067,0.05571,0.11553,0.08263,0.14271,0.10046,0.10416,0.14058,0.15563
SHT,ml-1m,cold_start,1,0.09242,0.07505,0.09611,0.11315,0.15118,0.06139,0.1572,0.14056,0.23311,0.04733,0.242,0.176
SHT,ml-1m,missing,10,0.05466,0.2267,0.07781,0.26603,0.09497,0.19692,0.12793,0.25381,0.15831,0.16414,0.20177,0.25633
SHT,ml-1m,missing,20,0.04814,0.19965,0.07102,0.22868,0.08484,0.17592,0.1177,0.22272,0.14461,0.14994,0.1894,0.23091
SHT,ml-1m,missing,30,0.04353,0.18055,0.06862,0.21061,0.07851,0.1628,0.11629,0.20891,0.13698,0.14203,0.18839,0.22162
SHT,ml-1m,missing,40,0.04071,0.16885,0.0642,0.19352,0.07277,0.1509,0.10917,0.19209,0.12734,0.13203,0.1789,0.20537
SHT,ml-1m,missing,50,0.0369,0.15305,0.06019,0.17695,0.06584,0.13653,0.10213,0.17551,0.11814,0.12249,0.17179,0.19148
