,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
186,186,0.15141,0.21801,0.23768,0.24516,0.18843,0.13566,0.15222,0.22
187,187,0.14899,0.2175,0.23617,0.24512,0.18542,0.13534,0.14956,0.21863
188,188,0.15103,0.22017,0.23879,0.24732,0.18796,0.137,0.15131,0.22209
189,189,0.14784,0.21864,0.23458,0.24491,0.18399,0.13605,0.14851,0.22066
190,190,0.15039,0.22017,0.23706,0.24667,0.18716,0.137,0.15124,0.22137
191,191,0.14911,0.2175,0.23658,0.24581,0.18558,0.13534,0.14985,0.21913
192,192,0.14988,0.21915,0.23658,0.24574,0.18653,0.13637,0.15129,0.2205
193,193,0.14988,0.2203,0.23652,0.2469,0.18653,0.13708,0.15027,0.2231
194,194,0.14899,0.22284,0.23337,0.24581,0.18542,0.13867,0.14982,0.22538
195,195,0.15179,0.22119,0.23777,0.24646,0.18891,0.13764,0.15279,0.22161
196,196,0.14873,0.21979,0.23403,0.24511,0.1851,0.13677,0.14961,0.22274
197,197,0.15052,0.21941,0.23891,0.24757,0.18732,0.13653,0.15108,0.22188
198,198,0.1481,0.21928,0.23621,0.24633,0.18431,0.13645,0.14886,0.2209
199,199,0.15153,0.22577,0.23974,0.25064,0.18859,0.14049,0.15182,0.22735
200,200,0.14975,0.21571,0.23712,0.24452,0.18637,0.13423,0.15056,0.21851
201,201,0.14644,0.2175,0.23146,0.24206,0.18225,0.13534,0.14749,0.21962
202,202,0.14886,0.21839,0.23575,0.24554,0.18526,0.1359,0.14967,0.22124
203,203,0.1509,0.22106,0.23892,0.24857,0.1878,0.13756,0.15136,0.22395
204,204,0.1537,0.22157,0.24134,0.24891,0.19128,0.13788,0.15413,0.22444
205,205,0.15077,0.22208,0.23989,0.24942,0.18764,0.13819,0.15109,0.22225
206,206,0.15166,0.21992,0.23877,0.24679,0.18875,0.13685,0.15224,0.22107
207,207,0.15243,0.22132,0.24167,0.25021,0.1897,0.13772,0.1525,0.2233
208,208,0.15128,0.22272,0.23952,0.25023,0.18827,0.13859,0.15177,0.2246
209,209,0.15115,0.22374,0.23909,0.24981,0.18811,0.13922,0.15168,0.22513
210,210,0.15243,0.22183,0.2416,0.25061,0.1897,0.13803,0.15275,0.22449
211,211,0.1523,0.22259,0.23985,0.24906,0.18954,0.13851,0.15281,0.22481
212,212,0.14988,0.22335,0.23559,0.24799,0.18653,0.13899,0.14983,0.22625
213,213,0.15243,0.22183,0.23994,0.24857,0.1897,0.13803,0.1528,0.22291
214,214,0.15052,0.21928,0.23755,0.24575,0.18732,0.13645,0.15076,0.21977
215,215,0.15039,0.2175,0.23467,0.24302,0.18716,0.13534,0.15103,0.2187
216,216,0.15332,0.22119,0.23986,0.24713,0.19081,0.13764,0.15458,0.22188
217,217,0.1523,0.22577,0.24003,0.25075,0.18954,0.14049,0.15305,0.22728
218,218,0.15306,0.22144,0.23854,0.24678,0.19049,0.1378,0.15296,0.22352
219,219,0.15103,0.22335,0.23935,0.24969,0.18796,0.13899,0.15097,0.22571
220,220,0.15243,0.22246,0.24245,0.25128,0.1897,0.13843,0.15319,0.22259
221,221,0.15026,0.2203,0.23785,0.2476,0.187,0.13708,0.15141,0.22305
222,222,0.15039,0.22246,0.23727,0.24748,0.18716,0.13843,0.15195,0.22316
223,223,0.1537,0.22093,0.24314,0.2497,0.19128,0.13748,0.15501,0.22144
224,224,0.15344,0.22144,0.24187,0.24978,0.19097,0.1378,0.15419,0.2242
225,225,0.1523,0.22437,0.23864,0.24921,0.18954,0.13962,0.15351,0.22701
226,226,0.15243,0.22425,0.24076,0.25065,0.1897,0.13954,0.15327,0.22509
227,227,0.15115,0.22132,0.23891,0.24853,0.18811,0.13772,0.15212,0.22225
228,228,0.14848,0.2217,0.23518,0.24657,0.18479,0.13796,0.14966,0.22255
229,229,0.15039,0.22272,0.23984,0.25082,0.18716,0.13859,0.15174,0.22439
230,230,0.15153,0.21864,0.2368,0.24496,0.18859,0.13605,0.15261,0.2198
231,231,0.15115,0.21941,0.23656,0.24449,0.18811,0.13653,0.15207,0.22007
232,232,0.15306,0.22259,0.23965,0.24866,0.19049,0.13851,0.15393,0.22395
233,233,0.15192,0.22654,0.23856,0.25102,0.18906,0.14097,0.15337,0.22782
234,234,0.15128,0.22577,0.24008,0.25207,0.18827,0.14049,0.15255,0.2268
235,235,0.15141,0.22284,0.24032,0.25057,0.18843,0.13867,0.15219,0.22514
236,236,0.15243,0.22348,0.23855,0.24843,0.1897,0.13906,0.153,0.22586
237,237,0.15103,0.22272,0.23794,0.24832,0.18796,0.13859,0.15176,0.22344
238,238,0.14924,0.22259,0.2365,0.24818,0.18574,0.13851,0.15019,0.22388
239,239,0.1523,0.22335,0.23973,0.24998,0.18954,0.13899,0.15328,0.22531
240,240,0.15192,0.22475,0.239,0.25019,0.18906,0.13986,0.15222,0.22527
241,241,0.15332,0.22577,0.24124,0.25193,0.19081,0.14049,0.15399,0.22876
242,242,0.15192,0.2231,0.23918,0.2499,0.18906,0.13883,0.15278,0.22602
243,243,0.15344,0.22106,0.23907,0.24716,0.19097,0.13756,0.15429,0.22351
244,244,0.15408,0.22475,0.24077,0.24979,0.19176,0.13986,0.15433,0.22563
245,245,0.15255,0.22781,0.24068,0.25285,0.18986,0.14176,0.15286,0.22867
246,246,0.1537,0.22488,0.24167,0.25161,0.19128,0.13994,0.15488,0.22762
247,247,0.15523,0.22488,0.24396,0.25237,0.19319,0.13994,0.15619,0.22712
248,248,0.1537,0.22526,0.24204,0.25161,0.19128,0.14017,0.15432,0.22514
249,249,0.15306,0.22616,0.2409,0.25173,0.19049,0.14073,0.15347,0.22656
250,250,0.15344,0.22361,0.24138,0.24998,0.19097,0.13914,0.15444,0.22369
251,251,0.15166,0.22208,0.23538,0.24514,0.18875,0.13819,0.15334,0.22442
252,252,0.15192,0.22654,0.23864,0.25074,0.18906,0.14097,0.15233,0.22857
253,253,0.15408,0.22335,0.2409,0.2492,0.19176,0.13899,0.15474,0.22347
254,254,0.15243,0.22348,0.24019,0.24981,0.1897,0.13906,0.1534,0.2237
